match_id,season,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,striker_id,non_striker_id,bowler_id
1304090,2022,1,11.4,Rajasthan Royals,Mumbai Indians,JC Buttler,DJ Mitchell,K Kartikeya,0,0,,,,,,,,,,99b75528,eade4650,f6d8a7ab
1082615,2017,1,8.5,Sunrisers Hyderabad,Rising Pune Supergiant,KS Williamson,DA Warner,Imran Tahir,0,0,,,,,,,,,,d027ba9f,dcce6f09,acee4cc4
1304109,2022,1,3.7,Rajasthan Royals,Lucknow Super Giants,SV Samson,YBK Jaiswal,Mohsin Khan (2),4,0,,,,,,,,,,a4cc73aa,6c19c6e5,c33d8116
1178396,2019,1,3.2,Rajasthan Royals,Kolkata Knight Riders,JC Buttler,SPD Smith,M Prasidh Krishna,4,0,,,,,,,,,,99b75528,30a45b23,85e0cf10
598055,2013,1,16.2,Pune Warriors,Mumbai Indians,AM Nayar,KW Richardson,SL Malinga,1,0,,,,,,,,,,a45a5e8d,dfc4d8b5,a12e1d51
419153,2009/10,1,11.1,Kolkata Knight Riders,Chennai Super Kings,AD Mathews,MK Tiwary,SB Jakati,0,0,,,,,,,,,,896d78ad,26e5cabf,c8179c68
598019,2013,1,11.2,Rajasthan Royals,Mumbai Indians,DH Yagnik,AM Rahane,R Dhawan,0,1,1.0,,,,,,,,,063b3673,29e95537,26a85969
392199,2009,2,9.2,Royal Challengers Bangalore,Kolkata Knight Riders,SP Goswami,JH Kallis,SC Ganguly,1,0,,,,,,,,,,541f85c9,86dc8f2e,725529bc
734005,2014,2,14.2,Delhi Daredevils,Royal Challengers Bangalore,KM Jadhav,JP Duminy,YS Chahal,1,0,,,,,,,,,,99d63244,2e8994e7,57ee1fde
1216540,2020/21,2,12.4,Kolkata Knight Riders,Royal Challengers Bangalore,AD Russell,RA Tripathi,CH Morris,1,0,,,,,,,,,,bbd41817,77255a9e,fb66ce1f
392220,2009,1,9.1,Deccan Chargers,Rajasthan Royals,A Symonds,RG Sharma,RA Jadeja,0,0,,,,,,,,,,bd77eb62,740742ef,fe93fd9d
419121,2009/10,2,7.5,Chennai Super Kings,Kings XI Punjab,PA Patel,ML Hayden,PP Chawla,1,0,,,,,,,,,,b5da6c24,d8699ab7,98ae73b1
1082632,2017,2,8.1,Delhi Daredevils,Gujarat Lions,RR Pant,SV Samson,SK Raina,0,0,,,,,,,,,,919a3be2,a4cc73aa,1dc12ab9
501254,2011,1,3.5,Kochi Tuskers Kerala,Kings XI Punjab,BB McCullum,DPMD Jayawardene,SJ Srivastava,1,0,,,,,,,,,,b8a55852,d18f9182,2049f3a0
1178426,2019,2,3.1,Sunrisers Hyderabad,Mumbai Indians,WP Saha,MJ Guptill,JJ Bumrah,4,0,,,,,,,,,,fe11caa6,2be41edb,462411b3
392206,2009,1,8.6,Chennai Super Kings,Delhi Daredevils,S Badrinath,SK Raina,TM Dilshan,1,0,,,,,,,,,,3576e47e,1dc12ab9,5bdcdb72
335989,2007/08,2,11.3,Mumbai Indians,Chennai Super Kings,SM Pollock,DJ Bravo,P Amarnath,6,0,,,,,,,,,,88fccd6c,87e562a9,6ad3a659
598007,2013,1,13.2,Kings XI Punjab,Chennai Super Kings,DJ Hussey,Gurkeerat Singh,RA Jadeja,1,0,,,,,,,,,,fd835ab3,6eb146d2,fe93fd9d
336013,2007/08,1,14.5,Chennai Super Kings,Kings XI Punjab,S Badrinath,MS Dhoni,VRV Singh,4,0,,,,,,,,,,3576e47e,4a8a2e3b,034b4b7d
419118,2009/10,1,0.4,Rajasthan Royals,Kolkata Knight Riders,NV Ojha,FY Fazal,AB Dinda,0,0,,,,,,,,,,890946a0,c15e2193,66b30f71
336014,2007/08,1,1.1,Kolkata Knight Riders,Deccan Chargers,A Chopra,SC Ganguly,DP Vijaykumar,0,0,,,,,,,,,,e249fdaa,725529bc,acd4f5dc
829757,2015,2,3.4,Royal Challengers Bangalore,Delhi Daredevils,V Kohli,CH Gayle,Imran Tahir,1,0,,,,,,,,,,ba607b88,db584dad,acee4cc4
1216526,2020/21,1,10.7,Kolkata Knight Riders,Mumbai Indians,PJ Cummins,EJG Morgan,JJ Bumrah,1,0,,,,,,,,,,ded9240e,d2a6c0e6,462411b3
1136561,2018,2,7.5,Chennai Super Kings,Mumbai Indians,KM Jadhav,MS Dhoni,JJ Bumrah,1,0,,,,,,,,,,99d63244,4a8a2e3b,462411b3
419114,2009/10,1,0.3,Mumbai Indians,Delhi Daredevils,SR Tendulkar,ST Jayasuriya,DP Nannes,4,0,,,,,,,,,,d2c2b2d5,f233bbb4,c404f58a
1178430,2019,2,12.5,Kings XI Punjab,Chennai Super Kings,N Pooran,Mandeep Singh,Harbhajan Singh,0,1,1.0,,,,,,,,,3241e3fd,c3a96caf,8b5b6769
1304067,2022,2,14.6,Sunrisers Hyderabad,Gujarat Titans,N Pooran,KS Williamson,Rashid Khan,0,1,,,,1.0,,,,,,3241e3fd,d027ba9f,5f547c8b
1178430,2019,2,12.7,Kings XI Punjab,Chennai Super Kings,N Pooran,Mandeep Singh,Harbhajan Singh,6,0,,,,,,,,,,3241e3fd,c3a96caf,8b5b6769
981005,2016,1,19.6,Kings XI Punjab,Rising Pune Supergiants,R Dhawan,KJ Abbott,NLTC Perera,2,0,,,,,,,,,,26a85969,a9da7784,0f12f9df
419119,2009/10,1,19.3,Mumbai Indians,Royal Challengers Bangalore,Z Khan,SL Malinga,P Kumar,6,0,,,,,,,,,,91a4a398,a12e1d51,e938e1bc
1175371,2019,2,17.3,Sunrisers Hyderabad,Delhi Capitals,YK Pathan,Mohammad Nabi,CH Morris,1,0,,,,,,,,,,3c6ffae8,62af8546,fb66ce1f
1304102,2022,1,14.3,Kolkata Knight Riders,Mumbai Indians,RK Singh,N Rana,JJ Bumrah,2,0,,,,,,,,,,0a509d6b,fb2d1dda,462411b3
548335,2012,1,18.2,Deccan Chargers,Kolkata Knight Riders,JP Duminy,Ankit Sharma,L Balaji,1,0,,,,,,,,,,2e8994e7,24d94623,b2b50355
980933,2016,1,11.6,Delhi Daredevils,Mumbai Indians,JP Duminy,SV Samson,Harbhajan Singh,1,0,,,,,,,,,,2e8994e7,a4cc73aa,8b5b6769
501218,2011,2,16.5,Mumbai Indians,Pune Warriors,RG Sharma,A Symonds,AC Thomas,1,0,,,,,,,,,,740742ef,bd77eb62,b552a935
1254072,2021,2,13.6,Kolkata Knight Riders,Chennai Super Kings,PJ Cummins,KD Karthik,SN Thakur,4,0,,,,,,,,,,ded9240e,c03f1114,1abb78f8
1082620,2017,2,6.1,Kolkata Knight Riders,Rising Pune Supergiant,RV Uthappa,G Gambhir,Imran Tahir,1,0,,,,,,,,,,1c17e270,bb345e0b,acee4cc4
392218,2009,1,0.1,Mumbai Indians,Royal Challengers Bangalore,ST Jayasuriya,SR Tendulkar,JH Kallis,0,1,1.0,,,,,,,,,f233bbb4,d2c2b2d5,86dc8f2e
829807,2015,2,3.5,Royal Challengers Bangalore,Sunrisers Hyderabad,V Kohli,Mandeep Singh,KV Sharma,2,0,,,,,,,,,,ba607b88,c3a96caf,119678fd
548372,2012,2,13.2,Delhi Daredevils,Royal Challengers Bangalore,LRPL Taylor,NV Ojha,M Muralitharan,1,0,,,,,,,,,,b61a3e1a,890946a0,4ba44e19
598005,2013,2,9.2,Kolkata Knight Riders,Rajasthan Royals,EJG Morgan,LR Shukla,S Sreesanth,0,4,,,,4.0,,,,,,d2a6c0e6,b1451597,6b8eb6e5
1216536,2020/21,1,14.3,Kolkata Knight Riders,Chennai Super Kings,N Rana,EJG Morgan,RA Jadeja,0,0,,,,,,,,,,fb2d1dda,d2a6c0e6,fe93fd9d
829741,2015,4,0.4,Rajasthan Royals,Kings XI Punjab,JP Faulkner,SPD Smith,MG Johnson,0,0,,,,,,run out,JP Faulkner,,,808f425a,30a45b23,f5180fe6
1304090,2022,1,13.4,Rajasthan Royals,Mumbai Indians,JC Buttler,DJ Mitchell,K Kartikeya,1,0,,,,,,,,,,99b75528,eade4650,f6d8a7ab
1254076,2021,2,14.4,Royal Challengers Bangalore,Chennai Super Kings,YS Chahal,KA Jamieson,SN Thakur,0,0,,,,,,,,,,57ee1fde,68c56d09,1abb78f8
501266,2011,1,8.1,Chennai Super Kings,Royal Challengers Bangalore,WP Saha,MS Dhoni,A Mithun,0,0,,,,,,,,,,fe11caa6,4a8a2e3b,66cf56a5
1216533,2020/21,2,2.1,Rajasthan Royals,Chennai Super Kings,BA Stokes,RV Uthappa,DL Chahar,1,0,,,,,,,,,,e087956b,1c17e270,23eeb873
829733,2015,2,9.1,Kolkata Knight Riders,Kings XI Punjab,YK Pathan,AD Russell,NLTC Perera,0,0,,,,,,,,,,3c6ffae8,bbd41817,0f12f9df
981005,2016,1,2.1,Kings XI Punjab,Rising Pune Supergiants,HM Amla,M Vijay,DL Chahar,0,0,,,,,,,,,,e798611a,4b57e452,23eeb873
392195,2009,1,18.4,Kings XI Punjab,Rajasthan Royals,KC Sangakkara,PP Chawla,Kamran Khan,1,0,,,,,,,,,,6b71e6cf,98ae73b1,6ef60d3a
1082613,2017,1,14.6,Kolkata Knight Riders,Gujarat Lions,RV Uthappa,MK Pandey,RA Jadeja,0,0,,,,,,,,,,1c17e270,93b4fc78,fe93fd9d
1304061,2022,1,15.1,Delhi Capitals,Lucknow Super Giants,SN Khan,RR Pant,AJ Tye,1,0,,,,,,,,,,f088b960,919a3be2,7c7d63a2
336000,2007/08,2,6.5,Kolkata Knight Riders,Rajasthan Royals,SC Ganguly,DJ Hussey,MM Patel,0,0,,,,,,,,,,725529bc,fd835ab3,f0f628c7
729285,2014,1,1.5,Sunrisers Hyderabad,Rajasthan Royals,S Dhawan,DA Warner,KW Richardson,1,0,,,,,,,,,,0a476045,dcce6f09,dfc4d8b5
1304065,2022,2,17.5,Kolkata Knight Riders,Delhi Capitals,Rasikh Salam,AD Russell,KK Ahmed,0,0,,,,,,,,,,b8527c3d,bbd41817,a2f46292
1304079,2022,1,19.1,Mumbai Indians,Chennai Super Kings,Tilak Varma,JD Unadkat,DJ Bravo,0,1,1.0,,,,,,,,,b0482a1d,1e66c162,87e562a9
729289,2014,1,8.6,Kolkata Knight Riders,Delhi Daredevils,RV Uthappa,MK Pandey,S Nadeem,0,0,,,,,,,,,,1c17e270,93b4fc78,9d80c5e1
392226,2009,1,1.2,Delhi Daredevils,Kings XI Punjab,G Gambhir,V Sehwag,IK Pathan,0,0,,,,,,,,,,bb345e0b,8ba8195d,5fa06777
1216517,2020/21,2,1.3,Kings XI Punjab,Mumbai Indians,KL Rahul,MA Agarwal,KH Pandya,1,0,,,,,,,,,,b17e2f24,00ea847a,5b8c830e
419109,2009/10,1,0.2,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,SP Goswami,CK Langeveldt,1,0,,,,,,,,,,86dc8f2e,541f85c9,d1c94b25
1082591,2017,1,16.6,Sunrisers Hyderabad,Royal Challengers Bangalore,DJ Hooda,Yuvraj Singh,TS Mills,1,0,,,,,,,,,,73ad96ed,1c914163,245c97cb
1175366,2019,2,13.2,Royal Challengers Bangalore,Sunrisers Hyderabad,C de Grandhomme,P Ray Barman,Rashid Khan,4,0,,,,,,,,,,94d7f855,441c72ae,5f547c8b
